year,position,song,artist_main,artist_full,song_and_artist,avg_rank,peak_rank,weeks_on_board
1984,87,I Guess That's Why They Call It The Blues,Elton John,Elton John,I Guess That's Why They Call It The Blues - Elton John,35.08,4,221
1984,88,Jump (for My Love),The Pointer Sisters,The Pointer Sisters,Jump (for My Love) - The Pointer Sisters,35.21,3,300
1984,89,I Would Die 4 U,Prince And The Revolution,Prince And The Revolution,I Would Die 4 U - Prince And The Revolution,35.33,32,6
1984,90,Legs,ZZ Top,ZZ Top,Legs - ZZ Top,35.37,8,190
1984,91,Break My Stride,Matthew Wilder,Matthew Wilder,Break My Stride - Matthew Wilder,35.38,5,299
1984,92,Sunglasses At Night,Corey Hart,Corey Hart,Sunglasses At Night - Corey Hart,35.65,7,276
1984,93,Think Of Laura,Christopher Cross,Christopher Cross,Think Of Laura - Christopher Cross,35.77,9,143
1984,94,Blue Jean,David Bowie,David Bowie,Blue Jean - David Bowie,36.19,8,136
1984,95,Pink Houses,John Mellencamp,John Mellencamp,Pink Houses - John Mellencamp,36.33,8,126
1984,96,Easy Lover,Philip Bailey With Phil Collins,Philip Bailey With Phil Collins,Easy Lover - Philip Bailey With Phil Collins,36.5,22,21
1984,97,New Moon On Monday,Duran Duran,Duran Duran,New Moon On Monday - Duran Duran,36.62,10,136
1984,98,Self Control,Laura Branigan,Laura Branigan,Self Control - Laura Branigan,36.64,4,325
1984,99,The Language Of Love,Dan Fogelberg,Dan Fogelberg,The Language Of Love - Dan Fogelberg,36.64,13,105
1984,100,I Still Can't Get Over Loving You,Ray Parker Jr.,Ray Parker Jr.,I Still Can't Get Over Loving You - Ray Parker Jr.,36.82,12,154
1985,1,Separate Lives,Phil Collins and Marilyn Martin,Phil Collins and Marilyn Martin,Separate Lives - Phil Collins and Marilyn Martin,13.85,1,91
1985,2,"Say You, Say Me",Lionel Richie,Lionel Richie,"Say You, Say Me - Lionel Richie",14.5,1,36
1985,3,Election Day,Arcadia,Arcadia,Election Day - Arcadia,17.8,6,55
1985,4,Part-Time Lover,Stevie Wonder,Stevie Wonder,Part-Time Lover - Stevie Wonder,19.53,1,153
1985,5,Sleeping Bag,ZZ Top,ZZ Top,Sleeping Bag - ZZ Top,20.45,8,66
1985,6,Alive & Kicking,Simple Minds,Simple Minds,Alive & Kicking - Simple Minds,20.64,3,66
1985,7,We Built This City,Starship,Starship,We Built This City - Starship,21.47,1,153
1985,8,You Belong To The City,Glenn Frey,Glenn Frey,You Belong To The City - Glenn Frey,21.56,2,136
1985,9,Who's Zoomin' Who,Aretha Franklin,Aretha Franklin,Who's Zoomin' Who - Aretha Franklin,22.5,7,105
1985,10,Can't Fight This Feeling,REO Speedwagon,REO Speedwagon,Can't Fight This Feeling - REO Speedwagon,22.67,1,171
1985,11,Miami Vice Theme,Jan Hammer,Jan Hammer,Miami Vice Theme - Jan Hammer,22.88,1,153
1985,12,I Want To Know What Love Is,Foreigner,Foreigner,I Want To Know What Love Is - Foreigner,23.41,1,221
1985,13,Lay Your Hands On Me,Thompson Twins,Thompson Twins,Lay Your Hands On Me - Thompson Twins,23.67,6,120
1985,14,Careless Whisper,Wham!,Wham! Featuring George Michael,Careless Whisper - Wham!,23.84,1,228
1985,15,Broken Wings,Mr. Mister,Mr. Mister,Broken Wings - Mr. Mister,23.93,1,120
1985,16,Small Town,John Mellencamp,John Mellencamp,Small Town - John Mellencamp,24.0,6,45
1985,17,Never,Heart,Heart,Never - Heart,24.25,4,136
1985,18,Head Over Heels,Tears For Fears,Tears For Fears,Head Over Heels - Tears For Fears,25.0,3,136
1985,19,Raspberry Beret,Prince And The Revolution,Prince And The Revolution,Raspberry Beret - Prince And The Revolution,25.06,2,153
1985,20,The Power Of Love,Huey Lewis and The News,Huey Lewis & The News,The Power Of Love - Huey Lewis and The News,25.21,1,190
